date,cars_up,cars_down,avg_speed_up,avg_speed_down,cam_code
2024-08-13_08-45-30,18,17,0.881419207800684,0.07926578083092595,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_08-46-58,4,14,0.39606074082706433,0.13597953052186473,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_08-47-33,13,20,0.41076496193372825,0.6702004099779362,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_08-47-40,17,12,0.864540633648698,0.5548394215101977,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_08-47-46,19,20,0.9166074688395566,0.7203776839030219,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_08-48-12,17,16,0.06596420356301425,0.8067176477060856,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_08-48-13,10,18,0.18672930108520702,0.009403830696387727,/dt2/f525e7d5-27f6-4435-bee4-c2b67f29ca73-0
2024-08-13_08-48-24,1,9,0.24541058865960808,0.9428516950618265,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_08-48-25,12,0,0.8978956379991742,0.42493321521951,/dt2/f525e7d5-27f6-4435-bee4-c2b67f29ca73-0
2024-08-13_09-33-00,18,9,0.8871626444848643,0.947801010994714,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_09-33-01,8,10,0.005285715307599248,0.33692943876828485,/dt2/f525e7d5-27f6-4435-bee4-c2b67f29ca73-0
2024-08-13_09-57-00,12,8,0.28556964577755817,0.7114114460632974,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_09-57-00,5,4,0.8773749286606377,0.26576393378255436,/dt2/f525e7d5-27f6-4435-bee4-c2b67f29ca73-0
2024-08-13_11-42-18,8,19,0.1617684234233785,0.18613655667403872,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_11-42-19,20,13,0.7024711021625214,0.28087919292744934,/dt2/f525e7d5-27f6-4435-bee4-c2b67f29ca73-0
2024-08-13_12-11-53,1,8,0.5666395250723946,0.7800984102277876,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_12-11-53,1,11,0.09716126697825045,0.1893968389165186,/dt2/f525e7d5-27f6-4435-bee4-c2b67f29ca73-0
2024-08-13_15-41-02,10,3,0.9134998808280692,0.6196142779814593,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_15-41-02,4,0,0.7736147610833627,0.7253975282996931,/dt2/f525e7d5-27f6-4435-bee4-c2b67f29ca73-0
2024-08-13_22-24-13,3,0,0.04631978319287089,0.44251802375033034,/dt2/323f0c73-1c83-484d-a2c5-6a6750e5db7e-11
2024-08-13_22-24-15,3,15,0.5768921860914844,0.6166320529692287,/dt2/f525e7d5-27f6-4435-bee4-c2b67f29ca73-0
